"original address",latitude,longitude
"Grand Forks, ND-MN",47.925257,-97.032855
"Faribault-Northfield, MN",44.431667,-93.191436
"Duluth, MN-WI",46.786672,-92.100485
"Mankato-North Mankato, MN",44.19814,-93.967437
"Owatonna, MN",44.085557,-93.225935
"Fergus Falls, MN",46.283521,-96.077789
"Bemidji, MN",47.487536,-94.885849
"Marshall, MN",44.448423,-95.791192
"Austin, MN",43.66663,-92.974637
"Winona, MN",44.055391,-91.666352
"Red Wing, MN",44.566069,-92.536956
"La Crosse-Onalaska, WI-MN",43.884409,-91.235139
"Wahpeton, ND-MN",46.265237,-96.605907
"Jackson, MS",32.298757,-90.18481
"Hattiesburg, MS",31.327119,-89.290339
"Grenada, MS",33.769005,-89.808419
"Gulfport-Biloxi-Pascagoula, MS",30.365755,-88.556127
"Oxford, MS",34.366495,-89.519248
"Meridian, MS",32.36431,-88.703656
"Tupelo, MS",34.257607,-88.703386
"Starkville, MS",33.4504,-88.818387
"Cleveland, MS",33.744002,-90.724819
"Vicksburg, MS",32.352646,-90.877882
"Greenville, MS",33.399661,-91.037703
"Clarksdale, MS",34.200109,-90.570932
"Greenwood, MS",33.516232,-90.179528
"Columbus, MS",33.495674,-88.427263
"Picayune, MS",30.525469,-89.679508
"Laurel, MS",31.694051,-89.130612
"Corinth, MS",34.934255,-88.52227
"Indianola, MS",33.450951,-90.655092
"Brookhaven, MS",31.579059,-90.440651
"Columbia, MO",38.951705,-92.334072
"Poplar Bluff, MO",36.756999,-90.392888
"Jefferson City, MO",38.576702,-92.173516
"Springfield, MO",37.208957,-93.292299
"Hannibal, MO",39.708379,-91.358482
"Maryville, MO",40.346102,-94.872471
"Rolla, MO",37.948544,-91.77153
"Moberly, MO",39.418369,-92.438237
"Farmington, MO",37.780885,-90.421789
"Marshall, MO",39.123078,-93.19687
"Mexico, MO",39.173065,-91.887271
"Warrensburg, MO",38.762789,-93.73605
"Sedalia, MO",38.704461,-93.228261
"Lebanon, MO",37.680597,-92.663787
"Fort Leonard Wood, MO",37.725232,-92.164672
"Branson, MO",36.643673,-93.218514
"Miami, OK",36.874515,-94.877455
"West Plains, MO",36.728115,-91.852371
"Billings, MT",45.783286,-108.50069
"Great Falls, MT",47.494184,-111.283345
"Helena, MT",46.588371,-112.024505
"Bozeman, MT",45.676998,-111.042934
"Butte-Silver Bow, MT",46.003823,-112.534778
"Kalispell, MT",48.191989,-114.316813
"Missoula, MT",46.878718,-113.996586
"Kearney, NE",40.69933,-99.081678
"Lexington, NE",40.78084,-99.741505
"Fremont, NE",41.433391,-96.498147
"Beatrice, NE",40.265927,-96.746691
"Grand Island, NE",40.926396,-98.342012
"Lincoln, NE",40.825763,-96.685198
"North Platte, NE",41.140276,-100.760145
"Hastings, NE",40.586258,-98.389873
"Norfolk, NE",42.032723,-97.413755
"Columbus, NE",41.430297,-97.35939
"Scottsbluff, NE",41.866634,-103.667166
"Pahrump, NV",36.208294,-115.983915
"Las Vegas-Henderson-Paradise, NV",36.083252,-115.049902
"Carson City, NV",39.163798,-119.767403
"Gardnerville Ranchos, NV",38.88824,-119.741287
"Elko, NV",40.832421,-115.763123
"Fallon, NV",39.474869,-118.777041
"Fernley, NV",39.607968,-119.251835
"Keene, NH",42.933692,-72.278141
"Berlin, NH-VT",44.464677, -71.180414
"Laconia, NH",43.527855,-71.470351
"Concord, NH",43.208137,-71.537572
"Claremont-Lebanon, NH-VT",43.2911,-72.394038
"Atlantic City-Hammonton, NJ",39.636506,-74.802385
"Ocean City, NJ",39.277616,-74.5746
"Vineland-Bridgeton, NJ",39.470761,-75.138479
"Trenton, NJ",40.217053,-74.742938
"Allentown-Bethlehem-Easton, PA-NJ",40.649797,-75.338572
"Albuquerque, NM",35.085334,-106.605553
"Roswell, NM",33.394266,-104.523024
"Clovis, NM",34.404799,-103.205227
"Las Cruces, NM",32.31994,-106.763654
"Alamogordo, NM",32.899533,-105.960265
"Carlsbad-Artesia, NM",32.471881,-104.283697
"Deming, NM",32.268698,-107.75864
"Hobbs, NM",32.702612,-103.13604
"Gallup, NM",35.528078,-108.742584
"Portales, NM",34.186192,-103.334398
"Farmington, NM",36.728058,-108.218686
"Santa Fe, NM",35.686975,-105.937799
"Taos, NM",36.407249,-105.573066
"Silver City, NM",32.770075,-108.280326
"Espa\xf1ola, NM",34.51994,-105.87009
"Las Vegas, NM",35.594214,-105.222798
"Los Alamos, NM",35.880036,-106.303114
"Grants, NM",35.14726,-107.851447
"Hereford, TX",34.815062,-102.397704
"Binghamton, NY",42.098687,-75.917974
"Olean, NY",42.083639,-78.429927
"Auburn, NY",42.931734,-76.566053
"Jamestown-Dunkirk-Fredonia, NY",42.440058,-79.33171
"Elmira, NY",42.089797,-76.807734
"Plattsburgh, NY",44.699487,-73.452912
"Buffalo-Cheektowaga-Niagara Falls, NY",42.964474,-78.823569
"Gloversville, NY",43.052851,-74.343747
"Batavia, NY",42.998116,-78.187517
"Utica-Rome, NY",43.160171,-75.337978
"Watertown-Fort Drum, NY",44.068477,-75.683446
"Rochester, NY",43.16103,-77.610922
"Syracuse, NY",43.048122,-76.147424
"Amsterdam, NY",42.937745,-74.190356
"Cortland, NY",42.601181,-76.180484
"Ogdensburg-Massena, NY",44.928105,-74.891865
"Corning, NY",42.142852,-77.05469
"Kingston, NY",41.927037,-73.997361
"Glens Falls, NY",43.309516,-73.644006
"Rutland, VT",43.610624,-72.972606
"Seneca Falls, NY",42.910622,-76.796622
"Oneonta, NY",42.452857,-75.063775
"Ithaca, NY",42.443961,-76.501881
"Burlington-South Burlington, VT",44.506328,-73.145209
"Malone, NY",44.84866,-74.294898
"Sayre, PA",41.978963,-76.515499
"Erie, PA",42.129224,-80.085059
"Bradford, PA",41.956495,-78.649163
"Burlington, NC",36.095692,-79.437799
"Washington, NC",35.546552,-77.052174
"Myrtle Beach-Conway-North Myrtle Beach, SC-NC",33.82471,-78.790497
"Asheville, NC",35.595058,-82.551487
"Hickory-Lenoir-Morganton, NC",35.745407,-81.684819
"Charlotte-Concord-Gastonia, NC-SC",33.836081,-81.163724
"Morehead City, NC",34.722939,-76.726044
"Durham-Chapel Hill, NC",35.9132,-79.055845
"Shelby, NC",35.292351,-81.535646
"New Bern, NC",35.108493,-77.044114
"Fayetteville, NC",35.052664,-78.878358
"Lumberton, NC",34.61822,-79.008642
"Virginia Beach-Norfolk-Newport News, VA-NC",35.759573,-79.0193
"Winston-Salem, NC",36.09986,-80.244216
"Rocky Mount, NC",35.93821,-77.790534
"Greensboro-High Point, NC",36.006141,-79.943753
"Roanoke Rapids, NC",36.46154,-77.654146
"Dunn, NC",35.306274,-78.608903
"Greenville-Anderson-Mauldin, SC",34.716646,-82.789715
"Goldsboro, NC",35.384884,-77.992765
"Kinston, NC",35.262664,-77.581635
"Newport, TN",35.967041,-83.187658
"Wilmington, NC",34.225726,-77.94471
"Jacksonville, NC",34.754052,-77.430241
"Greenville, NC",35.612661,-77.366354
"Albemarle, NC",35.350143,-80.200058
"Mount Airy, NC",36.499301,-80.607286
"Henderson, NC",36.329591,-78.399164
"Raleigh, NC",35.77959,-78.638179
"Boone, NC",36.216795,-81.674552
"Wilson, NC",35.721269,-77.91554
"Cullowhee, NC",35.313711,-83.176533
"Marion, NC",35.684013,-82.009274
"Johnson City, TN",36.31344,-82.353473
"Kill Devil Hills, NC",36.030723,-75.67601
"Oxford, NC",36.3107,-78.590835
"Forest City, NC",35.334011,-81.865103
"Laurinburg, NC",34.774049,-79.462825
"North Wilkesboro, NC",36.158465,-81.147584
"Pinehurst-Southern Pines, NC",35.214571,-79.406382
"Elizabeth City, NC",36.294601,-76.251046
"Rockingham, NC",34.93932,-79.773946
"Brevard, NC",35.233447,-82.734292
"Sanford, NC",35.479876,-79.180299
"Gaffney, SC",35.071795,-81.649819
"Danville, VA",36.585972,-79.395023
"Seneca, SC",34.685656,-82.953204
"Martinsville, VA",36.691526,-79.872539
"Bismarck, ND",46.808327,-100.783739
"Jamestown, ND",46.910544,-98.708436
"Minot, ND",48.232967,-101.292291
"Dickinson, ND",46.879176,-102.789624
"Williston, ND",48.146968,-103.617974
"Wapakoneta, OH",40.567827,-84.193559
"Lima, OH",40.742551,-84.105226
"Ashtabula, OH",41.865053,-80.789809
"Sidney, OH",40.284216,-84.155499
"Dayton, OH",39.758948,-84.191607
"Springfield, OH",39.924227,-83.808817
"Weirton-Steubenville, WV-OH",40.417287,-82.907123
"Bucyrus, OH",40.808391,-82.975465
"Cleveland-Elyria, OH",41.376278,-82.081075
"Columbus, OH",39.961176,-82.998794
"Sandusky, OH",41.44894,-82.707961
"Toledo, OH",41.663938,-83.555212
"Norwalk, OH",41.242553,-82.615733
"Youngstown-Warren-Boardman, OH-PA",41.079933,-80.66321
"Marion, OH",40.58867,-83.128524
"Zanesville, OH",39.940345,-82.013192
"Port Clinton, OH",41.511995,-82.937692
"Akron, OH",41.081445,-81.519005
"Canton-Massillon, OH",40.818606,-81.454875
"Mansfield, OH",40.75839,-82.515447
"Chillicothe, OH",39.33312,-82.982402
"Fremont, OH",41.35033,-83.121863
"Portsmouth, OH",38.731743,-82.997674
"Findlay, OH",41.04422,-83.649932
"New Philadelphia-Dover, OH",40.534613,-81.487346
"Van Wert, OH",40.869493,-84.584122
"Marietta, OH",39.415352,-81.454844
"Wooster, OH",40.805057,-81.935143
"Tiffin, OH",41.114499,-83.177975
"Cambridge, OH",40.031183,-81.588456
"Mount Vernon, OH",40.393396,-82.485718
"Bellefontaine, OH",40.361164,-83.759656
"Athens, OH",39.32924,-82.101255
"Wheeling, WV-OH",40.063962,-80.720915
"Wilmington, OH",39.445339,-83.828537
"Coshocton, OH",40.272015,-81.859576
"Washington Court House, OH",39.536451,-83.439084
"Ashland, OH",40.868668,-82.318218
"Urbana, OH",40.108391,-83.75243
"Celina, OH",40.548936,-84.570234
"Meadville, PA",41.641444,-80.151448
"Greenville, OH",40.102826,-84.633012
"Defiance, OH",41.284493,-84.35578
"Jackson, OH",39.052017,-82.636554
"Pittsburgh, PA",40.440625,-79.995886
"Salem, OH",40.900892,-80.85675
"Point Pleasant, WV-OH",38.844525,-82.137089
"Elk City, OK",35.411994,-99.404259
"Durant, OK",33.992419,-96.397123
"Oklahoma City, OK",35.46756,-97.516428
"Ardmore, OK",34.174261,-97.143625
"Lawton, OK",34.603567,-98.395929
"Tulsa, OK",36.153982,-95.992775
"Weatherford, OK",35.526163,-98.707574
"Vernon, TX",34.154531,-99.26508
"Altus, OK",34.637765,-99.334044
"Muskogee, OK",35.747877,-95.369691
"Stillwater, OK",36.115607,-97.058368
"Ada, OK",34.774531,-96.678345
"Shawnee, OK",35.327293,-96.9253
"Duncan, OK",34.502303,-97.957813
"Bartlesville, OK",36.747311,-95.980818
"Woodward, OK",36.433648,-99.390386
"Enid, OK",36.395589,-97.878391
"McAlester, OK",34.93343,-95.769713
"Paris, TX",33.660939,-95.555513
"Tahlequah, OK",35.91537,-94.969956
"Corvallis, OR",44.564566,-123.262043
"Portland-Vancouver-Hillsboro, OR-WA",45.522894,-122.989827
"Astoria, OR",46.187884,-123.831253
"Coos Bay, OR",43.366501,-124.21789
"Brookings, OR",42.052611,-124.283982
"Klamath Falls, OR",42.224867,-121.78167
"Bend-Redmond, OR",44.253185,-121.150405
"Roseburg, OR",43.216505,-123.341738
"Medford, OR",42.326515,-122.875595
"Eugene, OR",44.052069,-123.086754
"Albany, OR",44.636511,-123.105928
"Salem, OR",44.942898,-123.035096
"Hermiston-Pendleton, OR",45.908489,-119.104991
"The Dalles, OR",45.594565,-121.178682
"Hood River, OR",45.705397,-121.521462
"Prineville, OR",44.299849,-120.834466
"Grants Pass, OR",42.439007,-123.328392
"Newport, OR",44.636784,-124.05345
"La Grande, OR",45.324577,-118.087719
"Gettysburg, PA",39.830929,-77.231095
"Reading, PA",40.335648,-75.926875
"Altoona, PA",40.518681,-78.394736
"Johnstown, PA",40.326741,-78.92197
"Lock Haven, PA",41.137013,-77.446926
"State College, PA",40.793395,-77.860001
"DuBois, PA",41.121012,-78.758326
"Bloomsburg-Berwick, PA",41.023854,-76.368759
"Harrisburg-Carlisle, PA",40.160004,-77.686813
"Lewistown, PA",40.59924,-77.571382
"Indiana, PA",40.621455,-79.152535
"Scranton--Wilkes-Barre--Hazleton, PA",40.958418,-75.974647
"Lancaster, PA",40.037876,-76.305514
"New Castle, PA",41.003672,-80.347009
"Lebanon, PA",40.340925,-76.41135
"Williamsport, PA",41.24119,-77.001079
"East Stroudsburg, PA",40.999539,-75.181291
"Sunbury, PA",40.862585,-76.79441
"Pottsville, PA",40.685646,-76.195499
"Oil City, PA",41.433948,-79.706441
"Selinsgrove, PA",40.798974,-76.862193
"Somerset, PA",40.008411,-79.078083
"Warren, PA",41.843949,-79.145044
"Lewisburg, PA",40.964529,-76.88441
"Huntingdon, PA",40.484796,-78.010281
"Charleston-North Charleston, SC",32.85462,-79.97481
"Florence, SC",34.195433,-79.762562
"Columbia, SC",34.00071,-81.034814
"Orangeburg, SC",33.49182,-80.855648
"Spartanburg, SC",34.949567,-81.932048
"Sumter, SC",33.920435,-80.341469
"Greenwood, SC",34.1954,-82.161788
"Georgetown, SC",33.376834,-79.294496
"Newberry, SC",34.274583,-81.618718
"Bennettsville, SC",34.61738,-79.684781
"Brookings, SD",44.311357,-96.798388
"Aberdeen, SD",45.464699,-98.486483
"Rapid City, SD",44.080543,-103.231015
"Sioux Falls, SD",43.544596,-96.731103
"Pierre, SD",44.368316,-100.350967
"Yankton, SD",42.871109,-97.397281
"Huron, SD",44.363317,-98.214257
"Spearfish, SD",44.490817,-103.85937
"Watertown, SD",44.899409,-97.115073
"Vermillion, SD",42.779442,-96.92921
"Mitchell, SD",43.709428,-98.029799
"Shelbyville, TN",35.483406,-86.460272
"Knoxville, TN",35.960638,-83.920739
"Sevierville, TN",35.868146,-83.561835
"Crossville, TN",35.948957,-85.026901
"Morristown, TN",36.213981,-83.294892
"Athens, TN",35.442851,-84.59299
"Cleveland, TN",35.159518,-84.876611
"Jackson, TN",35.614517,-88.813947
"Lewisburg, TN",35.44924,-86.788889
"Cookeville, TN",36.162839,-85.501642
"Kingsport-Bristol-Bristol, TN-VA",37.431573,-78.656894
"Dayton, TN",35.493959,-85.012453
"McMinnville, TN",35.686589,-85.780145
"Greeneville, TN",36.163157,-82.830986
"Martin, TN",36.343397,-88.850338
"Dyersburg, TN",36.034516,-89.385628
"Lawrenceburg, TN",35.242302,-87.334739
"Palestine, TX",31.762115,-95.630789
"Lufkin, TX",31.338241,-94.729097
"Wichita Falls, TX",33.913709,-98.493387
"San Antonio-New Braunfels, TX",29.378678,-98.461235
"Austin-Round Rock, TX",30.453163,-97.724177
"Killeen-Temple, TX",31.098234,-97.342782
"Houston-The Woodlands-Sugar Land, TX",29.619679,-95.634946
"College Station-Bryan, TX",30.598524,-96.298599
"Brownwood, TX",31.70932,-98.991161
"Brownsville-Harlingen, TX",26.190631,-97.696103
"Jacksonville, TX",31.963778,-95.270504
"Dallas-Fort Worth-Arlington, TX",32.743344,-97.026241
"Odessa, TX",31.845682,-102.367643
"El Paso, TX",31.761878,-106.485022
"Stephenville, TX",32.220696,-98.202263
"Beeville, TX",28.400832,-97.748331
"Pampa, TX",35.536156,-100.959871
"Sherman-Denison, TX",33.848124,-96.673321
"Longview, TX",32.500704,-94.740489
"Athens, TX",32.204873,-95.855521
"McAllen-Edinburg-Mission, TX",26.215907,-98.325293
"Sulphur Springs, TX",33.138448,-95.601067
"Big Spring, TX",32.250398,-101.478735
"Abilene, TX",32.448736,-99.733144
"Lubbock, TX",33.577863,-101.855166
"Waco, TX",31.549333,-97.14667
"Eagle Pass, TX",28.709143,-100.499521
"Midland, TX",31.997346,-102.077915
"Nacogdoches, TX",31.603513,-94.655487
"Corpus Christi, TX",27.800583,-97.396381
"Mineral Wells, TX",32.808461,-98.112822
"Amarillo, TX",35.221997,-101.831297
"Tyler, TX",32.35126,-95.301062
"Mount Pleasant, TX",33.156786,-94.968269
"San Angelo, TX",31.463772,-100.437037
"Huntsville, TX",30.723526,-95.550777
"Del Rio, TX",29.370886,-100.895867
"Victoria, TX",28.805267,-97.003598
"Port Lavaca, TX",28.614997,-96.626089
"Laredo, TX",27.530567,-99.480324
"Gainesville, TX",33.625941,-97.133345
"Corsicana, TX",32.09543,-96.468873
"Brenham, TX",30.166883,-96.397744
"Plainview, TX",34.184794,-101.706842
"Dumas, TX",35.865379,-101.973224
"Kerrville, TX",30.047433,-99.140319
"Alice, TX",27.752249,-98.069725
"Marshall, TX",32.544871,-94.367418
"Kingsville, TX",27.515869,-97.856109
"Bay City, TX",28.982757,-95.969402
"Rio Grande City, TX",26.379787,-98.820305
"Uvalde, TX",29.209684,-99.786168
"El Campo, TX",29.19664,-96.269687
"Zapata, TX",26.907261,-99.271425
"Borger, TX",35.66782,-101.397388
"Andrews, TX",32.318716,-102.545716
"Levelland, TX",33.587316,-102.37796
"Pecos, TX",31.422912,-103.493229
"Lamesa, TX",32.7376,-101.950992
"Fredericksburg, TX",30.275201,-98.871984
"Raymondville, TX",26.481457,-97.783051
"Sweetwater, TX",32.470952,-100.405938
"Snyder, TX",32.717886,-100.917618
"Summit Park UT",40.745781,-111.611593
"Salt Lake City, UT",40.760779,-111.891047
"Provo-Orem, UT",40.286006,-111.692627
"Vernal, UT",40.455516,-109.528748
"Price, UT",39.59941,-110.810715
"Cedar City, UT",37.677477,-113.061893
"Evanston, WY",41.268279,-110.963237
"Heber, UT",40.507009,-111.413323
"Barre, VT",44.176794,-72.468754
"Bennington, VT",42.878135,-73.196774
"Charlottesville, VA",38.029306,-78.476678
"Lynchburg, VA",37.413754,-79.142246
"Staunton-Waynesboro, VA",38.068469,-78.889468
"Roanoke, VA",37.27097,-79.941427
"Richmond, VA",37.540725,-77.436048
"Blacksburg-Christiansburg-Radford, VA",37.131792,-80.576448
"Winchester, VA-WV",39.18566,-78.163334
"Harrisonburg, VA",38.449569,-78.868916
"Bluefield, WV-VA",37.26984,-81.22232
"Big Stone Gap, VA",36.85864,-82.783249
"Moses Lake, WA",47.130142,-119.278077
"Kennewick-Richland, WA",46.109315,-119.199477
"Ellensburg, WA",46.996514,-120.547847
"Port Angeles, WA",48.118146,-123.430741
"Longview, WA",46.138168,-122.938167
"Centralia, WA",46.716214,-122.954297
"Othello, WA",46.825974,-119.175291
"Oak Harbor, WA",48.293156,-122.643224
"Seattle-Tacoma-Bellevue, WA",47.615657,-122.32679
"Bremerton-Silverdale, WA",47.571551,-122.638824
"Shelton, WA",47.215095,-123.100707
"Mount Vernon-Anacortes, WA",48.46597,-122.324776
"Wenatchee, WA",47.42346,-120.310349
"Spokane-Spokane Valley, WA",47.673228,-117.239375
"Olympia-Tumwater, WA",47.058936,-122.907881
"Walla Walla, WA",46.064581,-118.343021
"Pullman, WA",46.729777,-117.181738
"Yakima, WA",46.602071,-120.505899
"Bellingham, WA",48.74908,-122.478147
"Aberdeen, WA",46.975371,-123.815722
"Logan, WV",37.848715,-81.993458
"Charleston, WV",38.34982,-81.632623
"Morgantown, WV",39.629526,-79.955897
"Beckley, WV",37.77817,-81.188156
"Elkins, WV",38.92594,-79.846735
"Clarksburg, WV",39.280645,-80.344534
"Fairmont, WV",39.485085,-80.142578
"Parkersburg-Vienna, WV",39.327019,-81.548458
"Green Bay, WI",44.519159,-88.019826
"Oshkosh-Neenah, WI",44.200397,-88.517852
"Madison, WI",43.073052,-89.40123
"Eau Claire, WI",44.811349,-91.498494
"Sheboygan, WI",43.750828,-87.71453
"Baraboo, WI",43.471094,-89.744291
"Watertown-Fort Atkinson, WI",42.928894,-88.837051
"Manitowoc, WI",44.088606,-87.657584
"Wausau, WI",44.959135,-89.630122
"Milwaukee-Waukesha-West Allis, WI",43.016681,-88.007031
"Racine, WI",42.726131,-87.782852
"Appleton, WI",44.261931,-88.415385
"Stevens Point, WI",44.523579,-89.574563
"Fond du Lac, WI",43.773045,-88.447051
"Merrill, WI",45.180522,-89.683459
"Shawano, WI",44.779009, -88.590471
"Wisconsin Rapids-Marshfield, WI",44.668852,-90.171799
"Beaver Dam, WI",43.457769,-88.837329
"Menomonie, WI",44.875518,-91.919342
"Platteville, WI",42.73416,-90.478462
"Laramie, WY",41.311367,-105.591101
"Gillette, WY",44.291092,-105.502221
"Sheridan, WY",44.797194,-106.956179
"Riverton, WY",43.024959,-108.380104
"Casper, WY",42.866632,-106.313081
"Jackson, WY-ID",43.479929,-110.762428